conflict_group_id,event_id,source_dataset,split,time_window_id,node_ids,sample_ids,conflict_type_gt,event_type,risk_attr,action,label_source,data_split_hash,conflict_manifest_hash
cg_0010,mvtec_ad:test:0010,MVTec AD,test,mvtec_ad_tw_0003,"[""mvtec_ad:mvtec_ad/test/bottle/broken_large/006.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_large/007.png""]","[""mvtec_ad/test/bottle/broken_large/006.png"", ""mvtec_ad/test/bottle/broken_large/007.png""]",action_conflict,industrial_anomaly_conflict,medium,alert,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0011,neu_det:test:0011,NEU-DET,test,neu_det_tw_0003,"[""neu_det:neu_det/test/crazing_132"", ""neu_det:neu_det/test/crazing_133""]","[""neu_det/test/crazing_132"", ""neu_det/test/crazing_133""]",duplicate_alert,surface_defect_conflict,high,upload,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0012,cityflow:test:0012,CityFlow,test,cityflow_tw_0004,"[""cityflow:cityflow/test/S06/c043"", ""cityflow:cityflow/test/S06/c044""]","[""cityflow/test/S06/c043"", ""cityflow/test/S06/c044""]",class_conflict,multi_camera_tracking_conflict,low,pass,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0013,mvtec_ad:test:0013,MVTec AD,test,mvtec_ad_tw_0004,"[""mvtec_ad:mvtec_ad/test/bottle/broken_large/008.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_large/009.png""]","[""mvtec_ad/test/bottle/broken_large/008.png"", ""mvtec_ad/test/bottle/broken_large/009.png""]",risk_conflict,industrial_anomaly_conflict,medium,inspect,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0014,neu_det:test:0014,NEU-DET,test,neu_det_tw_0004,"[""neu_det:neu_det/test/crazing_137"", ""neu_det:neu_det/test/crazing_145""]","[""neu_det/test/crazing_137"", ""neu_det/test/crazing_145""]",action_conflict,surface_defect_conflict,high,alert,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0015,cityflow:test:0015,CityFlow,test,cityflow_tw_0005,"[""cityflow:cityflow/test/S06/c045"", ""cityflow:cityflow/test/S06/c046""]","[""cityflow/test/S06/c045"", ""cityflow/test/S06/c046""]",duplicate_alert,multi_camera_tracking_conflict,low,upload,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0016,mvtec_ad:test:0016,MVTec AD,test,mvtec_ad_tw_0005,"[""mvtec_ad:mvtec_ad/test/bottle/broken_large/010.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_large/011.png""]","[""mvtec_ad/test/bottle/broken_large/010.png"", ""mvtec_ad/test/bottle/broken_large/011.png""]",class_conflict,industrial_anomaly_conflict,medium,pass,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0017,neu_det:test:0017,NEU-DET,test,neu_det_tw_0005,"[""neu_det:neu_det/test/crazing_148"", ""neu_det:neu_det/test/crazing_152""]","[""neu_det/test/crazing_148"", ""neu_det/test/crazing_152""]",risk_conflict,surface_defect_conflict,high,inspect,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0018,cityflow:test:0018,CityFlow,test,cityflow_tw_0006,"[""cityflow:cityflow/test/S06/c041"", ""cityflow:cityflow/test/S06/c042""]","[""cityflow/test/S06/c041"", ""cityflow/test/S06/c042""]",action_conflict,multi_camera_tracking_conflict,low,alert,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0019,mvtec_ad:test:0019,MVTec AD,test,mvtec_ad_tw_0006,"[""mvtec_ad:mvtec_ad/test/bottle/broken_large/012.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_large/013.png""]","[""mvtec_ad/test/bottle/broken_large/012.png"", ""mvtec_ad/test/bottle/broken_large/013.png""]",duplicate_alert,industrial_anomaly_conflict,medium,upload,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0020,neu_det:test:0020,NEU-DET,test,neu_det_tw_0006,"[""neu_det:neu_det/test/crazing_158"", ""neu_det:neu_det/test/crazing_161""]","[""neu_det/test/crazing_158"", ""neu_det/test/crazing_161""]",class_conflict,surface_defect_conflict,high,pass,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0021,cityflow:test:0021,CityFlow,test,cityflow_tw_0007,"[""cityflow:cityflow/test/S06/c043"", ""cityflow:cityflow/test/S06/c044""]","[""cityflow/test/S06/c043"", ""cityflow/test/S06/c044""]",risk_conflict,multi_camera_tracking_conflict,low,inspect,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0022,mvtec_ad:test:0022,MVTec AD,test,mvtec_ad_tw_0007,"[""mvtec_ad:mvtec_ad/test/bottle/broken_large/014.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_large/015.png""]","[""mvtec_ad/test/bottle/broken_large/014.png"", ""mvtec_ad/test/bottle/broken_large/015.png""]",action_conflict,industrial_anomaly_conflict,medium,alert,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0023,neu_det:test:0023,NEU-DET,test,neu_det_tw_0007,"[""neu_det:neu_det/test/crazing_166"", ""neu_det:neu_det/test/crazing_169""]","[""neu_det/test/crazing_166"", ""neu_det/test/crazing_169""]",duplicate_alert,surface_defect_conflict,high,upload,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0024,cityflow:test:0024,CityFlow,test,cityflow_tw_0008,"[""cityflow:cityflow/test/S06/c045"", ""cityflow:cityflow/test/S06/c046""]","[""cityflow/test/S06/c045"", ""cityflow/test/S06/c046""]",class_conflict,multi_camera_tracking_conflict,low,pass,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0025,mvtec_ad:test:0025,MVTec AD,test,mvtec_ad_tw_0008,"[""mvtec_ad:mvtec_ad/test/bottle/broken_large/016.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_large/017.png""]","[""mvtec_ad/test/bottle/broken_large/016.png"", ""mvtec_ad/test/bottle/broken_large/017.png""]",risk_conflict,industrial_anomaly_conflict,medium,inspect,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0026,neu_det:test:0026,NEU-DET,test,neu_det_tw_0008,"[""neu_det:neu_det/test/crazing_172"", ""neu_det:neu_det/test/crazing_183""]","[""neu_det/test/crazing_172"", ""neu_det/test/crazing_183""]",action_conflict,surface_defect_conflict,high,alert,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0027,cityflow:test:0027,CityFlow,test,cityflow_tw_0009,"[""cityflow:cityflow/test/S06/c041"", ""cityflow:cityflow/test/S06/c042""]","[""cityflow/test/S06/c041"", ""cityflow/test/S06/c042""]",duplicate_alert,multi_camera_tracking_conflict,low,upload,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0028,mvtec_ad:test:0028,MVTec AD,test,mvtec_ad_tw_0009,"[""mvtec_ad:mvtec_ad/test/bottle/broken_large/018.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_large/019.png""]","[""mvtec_ad/test/bottle/broken_large/018.png"", ""mvtec_ad/test/bottle/broken_large/019.png""]",class_conflict,industrial_anomaly_conflict,medium,pass,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0029,neu_det:test:0029,NEU-DET,test,neu_det_tw_0009,"[""neu_det:neu_det/test/crazing_184"", ""neu_det:neu_det/test/crazing_19""]","[""neu_det/test/crazing_184"", ""neu_det/test/crazing_19""]",risk_conflict,surface_defect_conflict,high,inspect,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0030,cityflow:test:0030,CityFlow,test,cityflow_tw_0010,"[""cityflow:cityflow/test/S06/c043"", ""cityflow:cityflow/test/S06/c044""]","[""cityflow/test/S06/c043"", ""cityflow/test/S06/c044""]",action_conflict,multi_camera_tracking_conflict,low,alert,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0031,mvtec_ad:test:0031,MVTec AD,test,mvtec_ad_tw_0010,"[""mvtec_ad:mvtec_ad/test/bottle/broken_small/000.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_small/001.png""]","[""mvtec_ad/test/bottle/broken_small/000.png"", ""mvtec_ad/test/bottle/broken_small/001.png""]",duplicate_alert,industrial_anomaly_conflict,medium,upload,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0032,neu_det:test:0032,NEU-DET,test,neu_det_tw_0010,"[""neu_det:neu_det/test/crazing_191"", ""neu_det:neu_det/test/crazing_197""]","[""neu_det/test/crazing_191"", ""neu_det/test/crazing_197""]",class_conflict,surface_defect_conflict,high,pass,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0033,cityflow:test:0033,CityFlow,test,cityflow_tw_0011,"[""cityflow:cityflow/test/S06/c045"", ""cityflow:cityflow/test/S06/c046""]","[""cityflow/test/S06/c045"", ""cityflow/test/S06/c046""]",risk_conflict,multi_camera_tracking_conflict,low,inspect,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0034,mvtec_ad:test:0034,MVTec AD,test,mvtec_ad_tw_0011,"[""mvtec_ad:mvtec_ad/test/bottle/broken_small/002.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_small/003.png""]","[""mvtec_ad/test/bottle/broken_small/002.png"", ""mvtec_ad/test/bottle/broken_small/003.png""]",action_conflict,industrial_anomaly_conflict,medium,alert,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0035,neu_det:test:0035,NEU-DET,test,neu_det_tw_0011,"[""neu_det:neu_det/test/crazing_202"", ""neu_det:neu_det/test/crazing_211""]","[""neu_det/test/crazing_202"", ""neu_det/test/crazing_211""]",duplicate_alert,surface_defect_conflict,high,upload,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0036,cityflow:test:0036,CityFlow,test,cityflow_tw_0012,"[""cityflow:cityflow/test/S06/c041"", ""cityflow:cityflow/test/S06/c042""]","[""cityflow/test/S06/c041"", ""cityflow/test/S06/c042""]",class_conflict,multi_camera_tracking_conflict,low,pass,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0037,mvtec_ad:test:0037,MVTec AD,test,mvtec_ad_tw_0012,"[""mvtec_ad:mvtec_ad/test/bottle/broken_small/004.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_small/005.png""]","[""mvtec_ad/test/bottle/broken_small/004.png"", ""mvtec_ad/test/bottle/broken_small/005.png""]",risk_conflict,industrial_anomaly_conflict,medium,inspect,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0038,neu_det:test:0038,NEU-DET,test,neu_det_tw_0012,"[""neu_det:neu_det/test/crazing_216"", ""neu_det:neu_det/test/crazing_230""]","[""neu_det/test/crazing_216"", ""neu_det/test/crazing_230""]",action_conflict,surface_defect_conflict,high,alert,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0039,cityflow:test:0039,CityFlow,test,cityflow_tw_0013,"[""cityflow:cityflow/test/S06/c043"", ""cityflow:cityflow/test/S06/c044""]","[""cityflow/test/S06/c043"", ""cityflow/test/S06/c044""]",duplicate_alert,multi_camera_tracking_conflict,low,upload,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0040,mvtec_ad:test:0040,MVTec AD,test,mvtec_ad_tw_0013,"[""mvtec_ad:mvtec_ad/test/bottle/broken_small/006.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_small/007.png""]","[""mvtec_ad/test/bottle/broken_small/006.png"", ""mvtec_ad/test/bottle/broken_small/007.png""]",class_conflict,industrial_anomaly_conflict,medium,pass,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0041,neu_det:test:0041,NEU-DET,test,neu_det_tw_0013,"[""neu_det:neu_det/test/crazing_234"", ""neu_det:neu_det/test/crazing_241""]","[""neu_det/test/crazing_234"", ""neu_det/test/crazing_241""]",risk_conflict,surface_defect_conflict,high,inspect,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0042,cityflow:test:0042,CityFlow,test,cityflow_tw_0014,"[""cityflow:cityflow/test/S06/c045"", ""cityflow:cityflow/test/S06/c046""]","[""cityflow/test/S06/c045"", ""cityflow/test/S06/c046""]",action_conflict,multi_camera_tracking_conflict,low,alert,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0043,mvtec_ad:test:0043,MVTec AD,test,mvtec_ad_tw_0014,"[""mvtec_ad:mvtec_ad/test/bottle/broken_small/008.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_small/009.png""]","[""mvtec_ad/test/bottle/broken_small/008.png"", ""mvtec_ad/test/bottle/broken_small/009.png""]",duplicate_alert,industrial_anomaly_conflict,medium,upload,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0044,neu_det:test:0044,NEU-DET,test,neu_det_tw_0014,"[""neu_det:neu_det/test/crazing_243"", ""neu_det:neu_det/test/crazing_245""]","[""neu_det/test/crazing_243"", ""neu_det/test/crazing_245""]",class_conflict,surface_defect_conflict,high,pass,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0045,cityflow:test:0045,CityFlow,test,cityflow_tw_0015,"[""cityflow:cityflow/test/S06/c041"", ""cityflow:cityflow/test/S06/c042""]","[""cityflow/test/S06/c041"", ""cityflow/test/S06/c042""]",risk_conflict,multi_camera_tracking_conflict,low,inspect,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0046,mvtec_ad:test:0046,MVTec AD,test,mvtec_ad_tw_0015,"[""mvtec_ad:mvtec_ad/test/bottle/broken_small/010.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_small/011.png""]","[""mvtec_ad/test/bottle/broken_small/010.png"", ""mvtec_ad/test/bottle/broken_small/011.png""]",action_conflict,industrial_anomaly_conflict,medium,alert,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0047,neu_det:test:0047,NEU-DET,test,neu_det_tw_0015,"[""neu_det:neu_det/test/crazing_246"", ""neu_det:neu_det/test/crazing_252""]","[""neu_det/test/crazing_246"", ""neu_det/test/crazing_252""]",duplicate_alert,surface_defect_conflict,high,upload,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0048,cityflow:test:0048,CityFlow,test,cityflow_tw_0016,"[""cityflow:cityflow/test/S06/c043"", ""cityflow:cityflow/test/S06/c044""]","[""cityflow/test/S06/c043"", ""cityflow/test/S06/c044""]",class_conflict,multi_camera_tracking_conflict,low,pass,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0049,mvtec_ad:test:0049,MVTec AD,test,mvtec_ad_tw_0016,"[""mvtec_ad:mvtec_ad/test/bottle/broken_small/012.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_small/013.png""]","[""mvtec_ad/test/bottle/broken_small/012.png"", ""mvtec_ad/test/bottle/broken_small/013.png""]",risk_conflict,industrial_anomaly_conflict,medium,inspect,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0050,neu_det:test:0050,NEU-DET,test,neu_det_tw_0016,"[""neu_det:neu_det/test/crazing_254"", ""neu_det:neu_det/test/crazing_26""]","[""neu_det/test/crazing_254"", ""neu_det/test/crazing_26""]",action_conflict,surface_defect_conflict,high,alert,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0051,cityflow:test:0051,CityFlow,test,cityflow_tw_0017,"[""cityflow:cityflow/test/S06/c045"", ""cityflow:cityflow/test/S06/c046""]","[""cityflow/test/S06/c045"", ""cityflow/test/S06/c046""]",duplicate_alert,multi_camera_tracking_conflict,low,upload,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0052,mvtec_ad:test:0052,MVTec AD,test,mvtec_ad_tw_0017,"[""mvtec_ad:mvtec_ad/test/bottle/broken_small/014.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_small/015.png""]","[""mvtec_ad/test/bottle/broken_small/014.png"", ""mvtec_ad/test/bottle/broken_small/015.png""]",class_conflict,industrial_anomaly_conflict,medium,pass,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0053,neu_det:test:0053,NEU-DET,test,neu_det_tw_0017,"[""neu_det:neu_det/test/crazing_267"", ""neu_det:neu_det/test/crazing_281""]","[""neu_det/test/crazing_267"", ""neu_det/test/crazing_281""]",risk_conflict,surface_defect_conflict,high,inspect,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0054,cityflow:test:0054,CityFlow,test,cityflow_tw_0018,"[""cityflow:cityflow/test/S06/c041"", ""cityflow:cityflow/test/S06/c042""]","[""cityflow/test/S06/c041"", ""cityflow/test/S06/c042""]",action_conflict,multi_camera_tracking_conflict,low,alert,cityflow_annotation,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
cg_0055,mvtec_ad:test:0055,MVTec AD,test,mvtec_ad_tw_0018,"[""mvtec_ad:mvtec_ad/test/bottle/broken_small/016.png"", ""mvtec_ad:mvtec_ad/test/bottle/broken_small/017.png""]","[""mvtec_ad/test/bottle/broken_small/016.png"", ""mvtec_ad/test/bottle/broken_small/017.png""]",duplicate_alert,industrial_anomaly_conflict,medium,upload,industrial_label,d7f3fac67fd3f235802ed405cdbac46302db513925cdab56d13198b0b871e7cf,9a31d599bf807d57ac4a03ae1dba354b120378ad9650668c34943e46c7b2b7b7
